Local Government Area,Fires & explosions,Non-fire rescue calls including animal rescues,Hazards material incidents & other hazardous conditions,"Storm, floods and other natural disasters & calls for assistance from other agencies",Other service calls,Good intent calls,System initiated false alarms,"Malicious false calls false alarms",Other calls,Total primary incidents
STRATHFIELD,78,71,130,52,31,122,456,4,1,945
SUTHERLAND,225,478,415,266,199,378,910,28,10,"2,909"
SYDNEY,706,316,420,174,325,"1,437","10,619",92,53,"14,142"
TAMWORTH,371,180,161,71,28,163,198,21,4,"1,197"
TEMORA,18,23,9,2,1,17,10,0,0,80
TENTERFIELD,23,10,14,14,5,12,11,0,0,89
THE HILLS,147,229,241,80,44,189,930,14,2,"1,876"
TOWONG (S),0,0,0,1,0,0,0,0,0,1
TWEED,210,104,168,126,62,228,396,25,1,"1,320"
UNINCORPORATED NSW,2,2,2,0,0,0,0,0,0,6
UNINCORPORATED SA,7,0,0,0,0,1,0,0,0,8
UPPER HUNTER,42,29,28,21,9,22,44,0,3,198
UPPER LACHLAN,7,17,10,22,1,2,8,0,0,67
URALLA,10,223,7,3,1,14,3,4,0,265
WAGGA WAGGA,344,72,139,40,20,147,223,21,6,"1,012"
WALCHA,12,15,1,1,1,2,6,0,0,38
WALGETT,102,17,16,14,6,13,18,3,0,189
WARREN,10,7,2,4,3,3,4,1,2,36
WARRUMBUNGLE,47,30,16,6,3,12,14,1,0,129
WAVERLEY,93,77,125,32,59,254,722,10,1,"1,373"
WEDDIN,9,11,8,3,1,4,0,0,0,36
WENTWORTH,18,8,3,13,0,5,4,0,0,51
WILLOUGHBY,84,98,154,66,62,187,"1,077",9,3,"1,740"
WINGECARRIBEE,100,279,102,26,81,121,259,8,2,978
WODONGA (C),4,0,0,0,0,0,1,0,0,5
WOLLONDILLY,75,116,83,44,33,45,97,2,3,498
WOLLONGONG,770,391,509,386,170,507,"1,190",60,10,"3,993"
WOOLLAHRA,64,74,96,37,42,189,764,2,2,"1,270"
YASS VALLEY,19,27,28,11,4,16,15,4,4,128
OTHER ,56,33,41,23,34,58,103,2,0,350
,,,,,,,,,,
